# DATO;Luft temperatur ( ¡ C );Luft temperatur min ( ¡ C );Luft temperatur max ( ¡ C );GLOB(MJ/m2);%UV av GLOB
01.01.2012;1.0;-2.6;3.5;0.27;8.42
02.01.2012;1.7;0.4;3.7;0.56;7.01
03.01.2012;1.5;-0.1;3.5;0.34;6.66
04.01.2012;1.6;-1.1;4.1;0.58;6.64
05.01.2012;-2.2;-3.4;-0.2;0.96;6.51
06.01.2012;-3.0;-5.8;-0.7;1.22;5.60
07.01.2012;-1.5;-2.4;-0.7;0.47;5.74
08.01.2012;-5.0;-12.0;-2.0;0.68;9.88
09.01.2012;-6.9;-13.5;-2.6;0.47;7.20
10.01.2012;-3.7;-10.8;2.8;0.73;9.01
11.01.2012;0.6;-4.0;3.3;1.87;4.42
12.01.2012;2.7;-0.1;4.7;0.78;7.15
13.01.2012;2.3;0.5;4.4;1.60;5.22
14.01.2012;-0.3;-3.2;1.4;1.32;5.56
15.01.2012;-3.0;-5.8;-0.2;1.12;6.29
16.01.2012;-4.9;-6.9;-1.9;1.08;6.76
17.01.2012;-4.8;-7.9;-1.7;2.18;4.09
18.01.2012;-2.0;-4.3;2.6;0.28;7.75
19.01.2012;-3.3;-10.0;0.7;1.72;5.69
20.01.2012;-9.8;-13.8;-4.4;2.42;4.07
21.01.2012;-5.4;-13.8;-1.2;0.58;8.32
22.01.2012;-1.8;-7.7;-0.6;1.57;7.12
23.01.2012;-5.7;-9.4;-3.9;1.65;6.67
24.01.2012;-5.2;-6.6;-4.2;0.80;8.97
25.01.2012;-5.5;-6.3;-4.5;1.51;7.34
26.01.2012;-3.7;-6.3;-1.6;2.13;6.00
27.01.2012;-1.4;-2.5;-0.3;1.11;7.47
28.01.2012;-3.5;-7.5;-2.6;1.13;7.72
29.01.2012;-4.3;-7.2;-3.5;0.99;8.10
30.01.2012;-4.5;-4.9;-3.8;1.54;7.66
31.01.2012;-6.2;-8.2;-4.8;1.31;8.01
01.02.2012;-8.7;-9.5;-8.0;1.32;7.53
02.02.2012;-9.6;-14.5;-7.9;2.53;6.53
03.02.2012;-14.3;-18.6;-10.2;3.89;4.61
04.02.2012;-14.7;-21.0;-11.6;3.48;5.29
05.02.2012;-6.9;-11.6;-3.7;1.68;7.55
06.02.2012;-3.4;-4.9;-2.5;0.79;9.48
07.02.2012;-4.9;-9.2;-2.6;2.44;7.00
08.02.2012;-5.2;-8.3;-3.9;1.68;8.05
09.02.2012;-8.5;-12.7;-4.0;4.05;5.40
10.02.2012;-6.2;-10.5;-3.5;2.84;6.71
11.02.2012;-8.6;-13.8;-5.6;3.85;5.87
12.02.2012;-7.7;-13.3;0.5;4.57;5.11
13.02.2012;-7.4;-12.7;-2.8;2.47;7.66
14.02.2012;-4.3;-12.0;1.9;1.06;8.68
15.02.2012;0.9;-3.3;4.5;5.02;5.33
16.02.2012;-1.2;-5.0;2.4;4.10;6.04
17.02.2012;-2.1;-7.1;4.7;5.31;5.05
18.02.2012;1.6;-1.2;2.9;1.08;8.19
19.02.2012;-0.1;-4.0;2.7;5.08;5.47
20.02.2012;-0.8;-6.8;2.4;2.37;6.62
21.02.2012;1.5;-2.5;6.2;5.34;5.45
22.02.2012;3.1;-0.3;5.1;2.49;7.22
23.02.2012;5.1;2.4;8.4;4.06;5.55
24.02.2012;4.2;-0.5;10.0;5.99;5.02
25.02.2012;4.2;-3.0;7.3;6.74;4.68
26.02.2012;-0.9;-5.1;5.1;7.23;4.76
27.02.2012;0.9;-2.5;2.3;1.37;7.80
28.02.2012;4.0;0.0;11.3;5.92;5.40
29.02.2012;2.5;-1.5;8.8;3.55;6.49
01.03.2012;5.5;-0.5;12.6;7.74;4.74
02.03.2012;2.3;-2.9;9.0;8.33;4.54
03.03.2012;-0.7;-5.9;4.9;8.12;4.63
04.03.2012;-0.4;-2.5;2.6;3.88;6.33
05.03.2012;-1.2;-4.4;3.3;7.49;4.97
06.03.2012;-0.8;-3.1;1.6;4.12;6.12
07.03.2012;0.0;-0.7;0.7;0.92;7.64
08.03.2012;-0.1;-1.7;2.1;6.17;6.40
09.03.2012;3.0;-0.4;5.8;3.19;6.83
10.03.2012;4.4;-0.3;10.1;8.81;4.84
11.03.2012;6.0;-2.1;11.4;8.20;5.01
12.03.2012;9.0;1.9;14.8;9.88;4.54
13.03.2012;10.4;2.3;15.9;10.34;4.50
14.03.2012;3.7;-1.6;9.3;10.53;4.66
15.03.2012;3.5;0.3;10.1;8.25;4.88
16.03.2012;4.0;2.0;8.6;8.99;4.96
17.03.2012;4.3;2.3;7.3;3.48;5.88
18.03.2012;2.3;-1.7;8.9;10.10;4.97
19.03.2012;3.5;0.1;7.7;12.06;4.58
20.03.2012;7.5;1.9;13.4;10.09;4.76
21.03.2012;9.2;3.4;16.5;8.24;4.76
22.03.2012;8.6;0.6;17.8;12.43;4.35
23.03.2012;7.2;-1.1;15.8;13.03;4.35
24.03.2012;6.0;-2.2;15.6;13.23;4.41
25.03.2012;7.5;0.6;15.6;12.79;4.47
26.03.2012;8.4;0.2;18.1;11.07;4.65
27.03.2012;12.4;4.2;20.9;12.42;4.42
