District            Seats
-------------------------
Akershus               19
Aust-Agder              4
Buskerud                8
Finnmark Finnmárku      5
Hedmark                 7
Hordaland              16
Møre og Romsdal         8
Nord-Trøndelag          5
Nordland                9
Oppland                 6
Oslo                   20
Rogaland               14
Sogn og Fjordane        4
Sør-Trøndelag          10
Telemark                6
Troms Romsa             6
Vest-Agder              6
Vestfold                7
Østfold                 9
